corpus roots=58 openable=47 unopenable=11 pairs=9277 historical=6065 enriched=3212 unaddressed_accepted_excluded=1275
unopenable root list -> /home/user/DeepReason/experiments/2026-08-08-corpus-enrichment-patrol-pilot/phase2_unopenable_roots.json
resuming: 6598 pairs already recorded, skipping them
[25/9277] hits=2 parse_failures=1
[50/9277] hits=9 parse_failures=3
[75/9277] hits=13 parse_failures=3
[100/9277] hits=13 parse_failures=4
[125/9277] hits=22 parse_failures=5
[150/9277] hits=29 parse_failures=5
[175/9277] hits=35 parse_failures=5
[200/9277] hits=42 parse_failures=5
[225/9277] hits=50 parse_failures=5
[250/9277] hits=59 parse_failures=5
[275/9277] hits=68 parse_failures=6
[300/9277] hits=78 parse_failures=8
[325/9277] hits=88 parse_failures=8
[350/9277] hits=94 parse_failures=8
[375/9277] hits=96 parse_failures=8
[400/9277] hits=101 parse_failures=8
[425/9277] hits=104 parse_failures=9
[450/9277] hits=106 parse_failures=9
[475/9277] hits=106 parse_failures=9
[500/9277] hits=108 parse_failures=9
[525/9277] hits=108 parse_failures=9
[550/9277] hits=108 parse_failures=9
[575/9277] hits=110 parse_failures=9
[600/9277] hits=110 parse_failures=10
[625/9277] hits=110 parse_failures=14
[650/9277] hits=110 parse_failures=14
[675/9277] hits=112 parse_failures=14
[700/9277] hits=114 parse_failures=14
[725/9277] hits=120 parse_failures=14
[750/9277] hits=130 parse_failures=14
[775/9277] hits=139 parse_failures=14
[800/9277] hits=148 parse_failures=14
[825/9277] hits=151 parse_failures=14
[850/9277] hits=152 parse_failures=16
[875/9277] hits=152 parse_failures=18
[900/9277] hits=152 parse_failures=21
[925/9277] hits=152 parse_failures=22
[950/9277] hits=152 parse_failures=22
[975/9277] hits=156 parse_failures=22
[1000/9277] hits=156 parse_failures=22
[1025/9277] hits=158 parse_failures=23
[1050/9277] hits=161 parse_failures=23
[1075/9277] hits=163 parse_failures=23
[1100/9277] hits=163 parse_failures=23
[1125/9277] hits=164 parse_failures=23
[1150/9277] hits=164 parse_failures=24
[1175/9277] hits=164 parse_failures=27
[1200/9277] hits=165 parse_failures=27
[1225/9277] hits=166 parse_failures=27
[1250/9277] hits=168 parse_failures=27
[1275/9277] hits=168 parse_failures=28
[1300/9277] hits=168 parse_failures=30
[1325/9277] hits=168 parse_failures=34
[1350/9277] hits=168 parse_failures=34
[1375/9277] hits=170 parse_failures=34
[1400/9277] hits=170 parse_failures=34
[1425/9277] hits=170 parse_failures=34
[1450/9277] hits=170 parse_failures=35
[1475/9277] hits=170 parse_failures=35
[1500/9277] hits=171 parse_failures=35
[1525/9277] hits=174 parse_failures=35
[1550/9277] hits=175 parse_failures=35
[1575/9277] hits=181 parse_failures=36
[1600/9277] hits=182 parse_failures=37
[1625/9277] hits=182 parse_failures=37
[1650/9277] hits=185 parse_failures=37
[1675/9277] hits=187 parse_failures=37
[1700/9277] hits=191 parse_failures=38
[1725/9277] hits=195 parse_failures=38
[1750/9277] hits=205 parse_failures=38
[1775/9277] hits=210 parse_failures=38
[1800/9277] hits=216 parse_failures=38
[1825/9277] hits=218 parse_failures=38
[1850/9277] hits=223 parse_failures=40
[1875/9277] hits=225 parse_failures=40
[1900/9277] hits=227 parse_failures=41
[1925/9277] hits=230 parse_failures=41
[1950/9277] hits=237 parse_failures=41
[1975/9277] hits=241 parse_failures=41
[2000/9277] hits=242 parse_failures=41
[2025/9277] hits=244 parse_failures=43
[2050/9277] hits=247 parse_failures=43
[2075/9277] hits=253 parse_failures=43
[2100/9277] hits=268 parse_failures=44
[2125/9277] hits=283 parse_failures=44
[2150/9277] hits=287 parse_failures=46
[2175/9277] hits=300 parse_failures=47
[2200/9277] hits=317 parse_failures=47
[2225/9277] hits=333 parse_failures=48
[2250/9277] hits=354 parse_failures=49
