src/deepreason/adjudication: 7 symbols, 7 referenced (1 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/admission: 34 symbols, 34 referenced (12 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/allocation.py: 10 symbols, 10 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/amendment: 40 symbols, 40 referenced (18 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/application: 155 symbols, 155 referenced (60 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/assets: 6 symbols, 6 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/authority.py: 14 symbols, 14 referenced (5 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/brain: 70 symbols, 68 referenced (19 intra-file), 0 dynamic-ref, 0 entry-point, 2 candidate-dead
src/deepreason/bridge: 226 symbols, 226 referenced (99 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/browser.py: 7 symbols, 7 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/calculus: 143 symbols, 143 referenced (40 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/canonical.py: 2 symbols, 2 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/capabilities: 55 symbols, 55 referenced (12 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/capture: 65 symbols, 65 referenced (12 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/cli: 128 symbols, 125 referenced (67 intra-file), 0 dynamic-ref, 0 entry-point, 3 candidate-dead
src/deepreason/compat_eval.py: 32 symbols, 32 referenced (9 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/config.py: 11 symbols, 11 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/conjecture_events.py: 2 symbols, 2 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/conjecture_turn.py: 10 symbols, 10 referenced (2 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/control_events.py: 3 symbols, 3 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/controller.py: 4 symbols, 4 referenced (0 intra-file), 0 dynamic-ref, 0 entry-point, 0 candidate-dead
src/deepreason/easy.py: 32 symbols, 29 referenced (6 intra-file), 0 dynamic-ref, 0 entry-point, 3 candidate-dead
