[arm-s] 0000 tokens= 10426 cum=   10426/1193009 valid=False score=0.013592343842 best=None
[arm-s] 0001 tokens=  5199 cum=   15625/1193009 valid=True score=0.013307680842 best=0.013307680842
[arm-s] 0002 tokens= 10233 cum=   25858/1193009 valid=False score=0.002958535503 best=0.013307680842
[arm-s] 0004 tokens= 14667 cum=   40525/1193009 valid=False score=0.0 best=0.013307680842
[arm-s] 0005 tokens= 15056 cum=   55581/1193009 valid=False score=0.0 best=0.013307680842
[arm-s] 0009 tokens= 17924 cum=   73505/1193009 valid=True score=0.013307680842 best=0.013307680842
[arm-s] 0010 tokens=  8711 cum=   82216/1193009 valid=True score=0.013307680842 best=0.013307680842
[arm-s] 0012 tokens= 12708 cum=   94924/1193009 valid=False score=0.0 best=0.013307680842
[arm-s] 0013 tokens=  8065 cum=  102989/1193009 valid=True score=0.001 best=0.013307680842
[arm-s] 0015 tokens= 15760 cum=  118749/1193009 valid=False score=0.0 best=0.013307680842
[arm-s] 0016 tokens= 13719 cum=  132468/1193009 valid=False score=0.013497010038 best=0.013307680842
[arm-s] 0018 tokens= 16362 cum=  148830/1193009 valid=True score=0.001 best=0.013307680842
[arm-s] 0019 tokens=  7049 cum=  155879/1193009 valid=False score=0.002958535503 best=0.013307680842
[arm-s] 0020 tokens= 13262 cum=  169141/1193009 valid=True score=0.013307723273 best=0.013307723273
[arm-s] 0024 tokens=  8103 cum=  177244/1193009 valid=True score=0.013307678068 best=0.013307723273
[arm-s] 0027 tokens= 21507 cum=  198751/1193009 valid=False score=0.0 best=0.013307723273
[arm-s] 0030 tokens= 12663 cum=  211414/1193009 valid=True score=0.002958535503 best=0.013307723273
[arm-s] 0032 tokens= 15572 cum=  226986/1193009 valid=False score=0.00511455748 best=0.013307723273
